Module,Entity,Variable,Type,File Name,Format for Display,Size in Bytes,Size for Display,Description,Example,Validation
"Database Schema","Table: documents","status","Text (String)","/application/src/db/schema.ts","String","Variable","20 chars","Current processing/verification status","verified","Not Null, Default: 'pending'"
"Database Schema","Table: documents","metadata","Text (JSON)","/application/src/db/schema.ts","JSON String","Variable","Max","Additional document metadata","{""grade"":""A""}","Nullable"
"Database Schema","Table: organizations","organization_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Autoincrement PK for organizations","300","Primary Key"
"Database Schema","Table: organizations","user_id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Reference to users table","user_2Qf...","FK (users.id), Not Null"
"Database Schema","Table: organizations","organization_name","Text (String)","/application/src/db/schema.ts","String","Variable","150 chars","Name of the organization","Google","Not Null, Unique"
"Database Schema","Table: organizations","createdAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Record creation timestamp","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: organizations","web3_wallet","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","42 chars","Organization's wallet address","0x111...","Unique, Nullable"
"Database Schema","Table: access","access_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","PK for access logs/records","900","Primary Key"
"Database Schema","Table: access","student_id","Int","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to the owner student","12345","FK (students.enrolment_id)"
"Database Schema","Table: access","organization_id","Int","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to querying organization","300","FK (organizations.org_id)"
"Database Schema","Table: access","document_id","Int","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to requested document","5001","FK (documents.document_id)"
"Database Schema","Table: access","hexcode","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","8 chars","Hexcode used for document access","a1b2c3d4","Not Null"
"Database Schema","Table: access","request_time","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Time access was requested/granted","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: access","access_duration","Text (String)","/application/src/db/schema.ts","String","Variable","20 chars","Authorized valid duration","24h","Not Null"
"Database Schema","Table: access","status","Text (String)","/application/src/db/schema.ts","String","Variable","20 chars","Access status","approved","Not Null, Default: 'pending'"
"Database Schema","Table: access","access_type","Text (String)","/application/src/db/schema.ts","String","Variable","30 chars","Classification of access type","view_only","Not Null"
"Database Schema","Table: access_requests","request_id","Varchar","/application/src/db/schema.ts","String","Variable","50 chars","Unique request ID","req_99","Primary Key"
"Database Schema","Table: access_requests","document_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to requested document","5001","FK (documents.document_id)"
"Database Schema","Table: access_requests","organization_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to requesting org","300","FK (organizations.org_id)"
"Database Schema","Table: access_requests","student_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to student","12345","FK (students.enrolment_id)"
"Database Schema","Table: access_requests","status","Varchar","/application/src/db/schema.ts","String","Variable","20 chars","Request state","pending","Default: 'pending'"
"Database Schema","Table: access_requests","requested_at","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Request creation time","2023-10-01T12:00:00Z","DefaultNow"
"Database Schema","Table: access_requests","expires_at","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Request expiration time","2023-10-02T12:00:00Z","Nullable"
"Database Schema","Table: access_requests","duration_hours","Serial (Int)","/application/src/db/schema.ts","Numeric","4","5 chars","Validity duration in hours","24","Nullable"
"Types & DTOs","Interface: ContractDocument","title","String","/application/src/lib/contract.ts","String","Variable","150 chars","Title of the uploaded document","Transcript","N/A"
"Types & DTOs","Interface: ContractDocument","description","String","/application/src/lib/contract.ts","String","Variable","500 chars","Description provided by verifier","Undergraduate transcript","N/A"
"Types & DTOs","Interface: ContractDocument","documentType","String","/application/src/lib/contract.ts","String","Variable","50 chars","Type classification of document","Academic","N/A"
"Types & DTOs","Interface: ContractDocument","uploader","String","/application/src/lib/contract.ts","Hex-String","Variable","42 chars","Address of the verifier","0x123...","Valid Ethereum Address"
"Types & DTOs","Interface: ContractDocument","ipfsHash","String","/application/src/lib/contract.ts","Base58","Variable","46 chars","IPFS CID","QmYwAP...","Optional"
"Types & DTOs","Interface: TransactionResult","success","Boolean","/application/src/lib/contract.ts","Boolean","1","5 chars","Indicates transaction success","true","N/A"
"Types & DTOs","Interface: TransactionResult","error","String","/application/src/lib/contract.ts","String","Variable","Max","Error message if failed","Transaction reverted","Optional"
"Types & DTOs","Interface: TransactionResult","hash","String","/application/src/lib/contract.ts","Hex-String","Variable","66 chars","Blockchain transaction hash","0xabc...","Optional"
"Blockchain Smart Contract","State Variables","VERIFIER_ROLE","Bytes32","Blockchain/contracts/VeriFi.sol","Hex-String","32","66 chars","Keccak256 hash for Verifier Role","0x42f2...","Constant, 32 bytes"
"Blockchain Smart Contract","State Variables","documents","Mapping","Blockchain/contracts/VeriFi.sol","Struct","Variable","N/A","Maps documentId (uint256) to Document","[1 => Document]","N/A"
"Blockchain Smart Contract","State Variables","documentExists","Mapping","Blockchain/contracts/VeriFi.sol","Boolean","1 per entry","5 chars","Tracks if a document ID exists","true","N/A"
"Blockchain Smart Contract","State Variables","pendingRequests","Mapping","Blockchain/contracts/VeriFi.sol","Boolean","1 per entry","5 chars","Maps student -> docId -> employer -> bool","true","N/A"
"Blockchain Smart Contract","State Variables","hashToAddress","Mapping","Blockchain/contracts/VeriFi.sol","Hex-String","20 per entry","42 chars","Maps 8-digit hashcode to student address","0x123...","Hashcode must be 8 chars"
"Blockchain Smart Contract","State Variables","accessGrantTimestamps","Mapping","Blockchain/contracts/VeriFi.sol","Numeric","32 per entry","20 chars","Stores access granted timestamps","1696161600","N/A"
"Blockchain Smart Contract","Struct: Document","title","String","Blockchain/contracts/VeriFi.sol","String","Variable","Max","On-chain document title","Diploma","length > 0 (via uploadDocument)"
"Blockchain Smart Contract","Struct: Document","description","String","Blockchain/contracts/VeriFi.sol","String","Variable","Max","On-chain description","CS Diploma","N/A"
"Blockchain Smart Contract","Struct: Document","documentType","String","Blockchain/contracts/VeriFi.sol","String","Variable","Max","On-chain document type","Degree","length > 0 (via uploadDocument)"
"Blockchain Smart Contract","Struct: Document","uploader","Address","Blockchain/contracts/VeriFi.sol","Hex-String","20","42 chars","Verifier's Ethereum address","0xDef...","N/A"
